Site,SiteName,Date_Time,Temp,Notes,Measure
1,Paradise,5/26/17 12:00,9.866,,Measured
1,Paradise,5/26/17 13:00,9.275,,Measured
1,Paradise,5/26/17 14:00,10.161,,Measured
1,Paradise,5/26/17 15:00,10.357,,Measured
1,Paradise,5/26/17 16:00,10.161,,Measured
1,Paradise,5/26/17 17:00,10.161,,Measured
1,Paradise,5/26/17 18:00,10.161,,Measured
1,Paradise,5/26/17 19:00,9.768,,Measured
1,Paradise,5/26/17 20:00,9.472,,Measured
1,Paradise,5/26/17 21:00,8.978,,Measured
1,Paradise,5/26/17 22:00,8.68,,Measured
1,Paradise,5/26/17 23:00,8.382,,Measured
1,Paradise,5/27/17 0:00,8.282,,Measured
1,Paradise,5/27/17 1:00,8.182,,Measured
1,Paradise,5/27/17 2:00,7.882,,Measured
1,Paradise,5/27/17 3:00,7.682,,Measured
1,Paradise,5/27/17 4:00,7.481,,Measured
1,Paradise,5/27/17 5:00,7.381,,Measured
1,Paradise,5/27/17 6:00,7.481,,Measured
1,Paradise,5/27/17 7:00,8.082,,Measured
1,Paradise,5/27/17 8:00,8.879,,Measured
1,Paradise,5/27/17 9:00,9.768,,Measured
1,Paradise,5/27/17 10:00,8.978,,Measured
1,Paradise,5/27/17 11:00,11.236,,Measured
1,Paradise,5/27/17 12:00,12.304,,Measured
1,Paradise,5/27/17 13:00,11.819,,Measured
1,Paradise,5/27/17 14:00,11.916,,Measured
1,Paradise,5/27/17 15:00,12.594,,Measured
1,Paradise,5/27/17 16:00,14.134,,Measured
1,Paradise,5/27/17 17:00,14.325,,Measured
1,Paradise,5/27/17 18:00,13.558,,Measured
1,Paradise,5/27/17 19:00,11.528,,Measured
1,Paradise,5/27/17 20:00,9.965,,Measured
1,Paradise,5/27/17 21:00,7.983,,Measured
1,Paradise,5/27/17 22:00,6.775,,Measured
1,Paradise,5/27/17 23:00,5.347,,Measured
1,Paradise,5/28/17 0:00,4.831,,Measured
1,Paradise,5/28/17 1:00,6.573,,Measured
1,Paradise,5/28/17 2:00,6.978,,Measured
1,Paradise,5/28/17 3:00,6.166,,Measured
1,Paradise,5/28/17 4:00,4.831,,Measured
1,Paradise,5/28/17 5:00,4.102,,Measured
1,Paradise,5/28/17 6:00,5.757,,Measured
1,Paradise,5/28/17 7:00,7.983,,Measured
1,Paradise,5/28/17 8:00,10.651,,Measured
1,Paradise,5/28/17 9:00,12.98,,Measured
1,Paradise,5/28/17 10:00,15.473,,Measured
1,Paradise,5/28/17 11:00,16.808,,Measured
1,Paradise,5/28/17 12:00,17.665,,Measured
1,Paradise,5/28/17 13:00,17.95,,Measured
1,Paradise,5/28/17 14:00,17.76,,Measured
1,Paradise,5/28/17 15:00,17.76,,Measured
1,Paradise,5/28/17 16:00,15.282,,Measured
1,Paradise,5/28/17 17:00,14.421,,Measured
1,Paradise,5/28/17 18:00,12.497,,Measured
1,Paradise,5/28/17 19:00,11.625,,Measured
1,Paradise,5/28/17 20:00,9.275,,Measured
1,Paradise,5/28/17 21:00,6.775,,Measured
1,Paradise,5/28/17 22:00,5.757,,Measured
1,Paradise,5/28/17 23:00,5.45,,Measured
1,Paradise,5/29/17 0:00,5.141,,Measured
1,Paradise,5/29/17 1:00,5.244,,Measured
1,Paradise,5/29/17 2:00,4.623,,Measured
1,Paradise,5/29/17 3:00,4.831,,Measured
