Site,Year,SummerTmean,JanTmin,HoursMinus20,Soil.SumTmean,Soil.JanTmin,meanH2O,Drought10,Lux
1,2017,18.64859704,NA,0,18.87811639,NA,8.481004874,17,62433.88898
1,2018,19.73469285,-10.42535484,61,21.0025548,-3.35983871,7.549337773,11,57218.2782
1,2019,18.9745997,-10.58136605,0,19.63102989,-4.565419355,17.19666667,5,49536.15188
2,2017,18.0759707,NA,0,19.17213723,NA,13.40719586,4,41412.07819
2,2018,18.95347772,-10.92222581,110,20.25385598,-2.021354839,11.94015231,5,36056.92161
2,2019,18.44080102,-11.39483871,2,19.18259692,-2.134935484,23.22416667,4,36104.5095
3,2017,17.74082378,NA,0,20.51421966,NA,15.21912685,3,70064.44843
3,2018,18.58525025,-12.01074194,127,22.10471332,-5.540677419,11.71210815,6,64858.31967
3,2019,18.0032164,-12.57132258,10,20.40818614,-3.604322581,18.72583333,4,57686.53148
4,2017,16.11190951,NA,0,18.58821784,NA,20.46340825,0,46968.05372
4,2018,17.12467106,-8.289451613,0,18.32347147,-2.166548387,19.50346364,2,37525.81772
4,2019,16.36804576,-8.437741935,0,18.01278663,-4.358451613,30.88,1,22114.043
