Sapling,Site,Species,LDDate,Pheno
1-A2 lirtu,1,lirtu,8/2/17,D
1-A3 pinta,1,pinta,8/19/19,L
1-A4 abiba,1,abiba,8/19/19,L
1-A5 junvi,1,junvi,8/19/19,L
1-B1 aceru,1,aceru,8/19/19,L
1-B2 pinvi,1,pinvi,8/19/19,L
1-B3 pinri,1,pinri,8/19/19,L
1-B4 lirtu,1,lirtu,5/7/18,D
1-B5 picru,1,picru,8/19/19,L
1-C1 quepr,1,quepr,8/19/19,L
1-C2 pinst,1,pinst,8/19/19,L
1-C3 queru,1,queru,8/19/19,L
1-C4 queru,1,queru,5/7/18,D
1-C5 abiba,1,abiba,4/25/19,D
1-D1 queal,1,queal,9/13/17,D
1-D2 aceru,1,aceru,8/19/19,L
1-D3 picgl,1,picgl,5/22/18,D
1-D4 quepr,1,quepr,8/19/19,L
1-D5 queal,1,queal,8/16/17,D
1-E1 pinri,1,pinri,8/19/19,L
1-E2 quepr,1,quepr,8/19/19,L
1-E3 pinta,1,pinta,7/23/19,D
1-E4 aceru,1,aceru,5/15/19,D
1-E5 pinvi,1,pinvi,8/19/19,L
1-F1 picru,1,picru,8/16/17,D
1-F2 robps,1,robps,8/19/19,L
1-F3 abiba,1,abiba,8/19/19,L
1-F4 pinta,1,pinta,8/19/19,L
1-F5 pinba,1,pinba,8/19/19,L
1-F6 pruse,1,pruse,8/19/19,L
1-G1 robps,1,robps,8/19/19,L
1-G2 pruse,1,pruse,8/19/19,L
1-G3 picru,1,picru,8/19/19,L
1-G4 picgl,1,picgl,8/19/19,L
1-G5 pinri,1,pinri,8/19/19,L
1-G6 queru,1,queru,8/19/19,L
1-H1 pinst,1,pinst,7/14/17,D
1-H2 junvi,1,junvi,8/19/19,L
1-H3 queal,1,queal,8/19/19,L
1-H4 robps,1,robps,8/19/19,L
1-H5 pruse,1,pruse,8/19/19,L
1-H6 pinvi,1,pinvi,8/19/19,L
1-I1 pinba,1,pinba,8/19/19,L
1-I2 pinba,1,pinba,8/19/19,L
1-I3 lirtu,1,lirtu,7/14/17,D
1-I4 pinst,1,pinst,7/14/17,D
1-I5 junvi,1,junvi,8/19/19,L
1-I6 picgl,1,picgl,8/19/19,L
1-J1 junvi,1,junvi,8/19/19,L
1-J2 pinst,1,pinst,7/14/17,D
1-J3 pinvi,1,pinvi,8/19/19,L
1-J4 picgl,1,picgl,8/19/19,L
1-J5 pinba,1,pinba,8/19/19,L
1-J6 aceru,1,aceru,7/14/17,D
1-K1 pruse,1,pruse,8/19/19,L
1-K2 queal,1,queal,8/12/19,D
1-K3 pinta,1,pinta,8/19/19,L
1-K4 pinri,1,pinri,8/19/19,L
1-K5 picru,1,picru,8/19/19,L
1-K6 pinst,1,pinst,8/19/19,L
1-L1 picgl,1,picgl,8/19/19,L
1-L2 quepr,1,quepr,8/19/19,L
1-L3 pinba,1,pinba,8/19/19,L
1-L4 quepr,1,quepr,8/19/19,L
1-L5 aceru,1,aceru,7/14/17,D
1-L6 picru,1,picru,8/19/19,L
1-M1 abiba,1,abiba,8/19/19,L
1-M2 picgl,1,picgl,8/19/19,L
1-M3 aceru,1,aceru,8/19/19,L
1-M4 pinvi,1,pinvi,8/19/19,L
1-M5 robps,1,robps,8/19/19,L
