Site,Species,Sapling,Diam1a,Diam1b,DiamDate1,DiamEnd1,DiamDateEnd1,Diam2a,Diam2b,DiamDate2,Diam2notes,Diam3a,Diam3b,DiamDate3,Diam3notes,Diam4a,Diam4b,DiamDate4,Diam4notes
1,lirtu,1-A2 lirtu,3.15,3.43,5/11/17,3.2,9/21/17,,,6/7/18,dead,,,5/29/19,,,,8/13/19,
1,pinta,1-A3 pinta,5.25,4.9,5/11/17,8.21,9/21/17,9.03,8.49,6/7/18,,10.16,9.74,5/29/19,,11.49,10.95,8/13/19,
1,abiba,1-A4 abiba,3.43,3.5,5/11/17,5.9,9/21/17,5.08,4.84,6/7/18,,5.37,5.57,5/29/19,,5.74,5.75,8/13/19,
1,junvi,1-A5 junvi,3.5,4.06,5/11/17,5.07,9/21/17,4.14,4.73,6/7/18,,4.32,4.05,5/29/19,,4.59,4.63,8/13/19,
1,aceru,1-B1 aceru,3.64,3.36,5/11/17,4.08,9/21/17,4.04,4.17,6/7/18,,4.95,5.03,5/29/19,,5.25,5.66,8/13/19,
1,pinvi,1-B2 pinvi,3.5,3.43,5/11/17,4.07,9/21/17,5.58,5.83,6/7/18,,6.78,7.22,5/29/19,,8.75,8.91,8/13/19,
1,pinri,1-B3 pinri,4.9,4.55,5/11/17,5.86,9/21/17,6.92,7,6/7/18,,8.56,8.3,5/29/19,,9.4,8.73,8/13/19,
1,lirtu,1-B4 lirtu,6.3,6.16,5/11/17,7.46,9/21/17,,,6/7/18,dead,,,5/29/19,,,,8/13/19,
1,picru,1-B5 picru,3.64,3.43,5/11/17,3.67,9/21/17,3.72,3.69,6/7/18,,3.88,4.06,5/29/19,,4.24,4.27,8/13/19,
1,quepr,1-C1 quepr,5.53,5.04,5/11/17,7.56,9/21/17,7.45,7.85,6/7/18,,8.12,8.05,5/29/19,,9.11,8.68,8/13/19,
1,pinst,1-C2 pinst,7,7.56,5/11/17,9.05,9/21/17,9.52,9.02,6/7/18,,11.04,10.48,5/29/19,,11,11.05,8/13/19,
1,queru,1-C3 queru,4.55,4.2,5/11/17,5.67,9/21/17,5.21,5.23,6/7/18,,5.58,5.31,5/29/19,,5.14,5.16,8/13/19,
1,queru,1-C4 queru,3.5,3.5,5/11/17,4.15,9/21/17,,,6/7/18,dead,,,5/29/19,,,,8/13/19,
1,abiba,1-C5 abiba,3.43,2.94,5/11/17,4.01,9/21/17,4,4.01,6/7/18,,3.81,4,5/29/19,,3.86,3.8,8/13/19,
1,queal,1-D1 queal,4.9,4.76,5/11/17,4.58,9/21/17,,,6/7/18,,,,5/29/19,,,,8/13/19,
1,aceru,1-D2 aceru,1.96,1.96,5/11/17,3.72,9/21/17,3.65,3.41,6/7/18,,3.86,3.69,5/29/19,,3.75,3.59,8/13/19,
1,picgl,1-D3 picgl,1.8,1.8,5/11/17,1.86,9/21/17,2.49,1.75,6/7/18,,,,5/29/19,,,,8/13/19,
1,quepr,1-D4 quepr,4.55,4.34,5/11/17,6.11,9/21/17,6.28,6.04,6/7/18,,6.61,6.64,5/29/19,,7.17,7.12,8/13/19,
1,queal,1-D5 queal,3.71,3.71,5/11/17,4.33,9/21/17,,,6/7/18,dead,,,5/29/19,,,,8/13/19,
1,pinri,1-E1 pinri,3.36,3.5,5/11/17,3.77,9/21/17,5.17,4.84,6/7/18,,6.22,5.75,5/29/19,,6.73,6.72,8/13/19,
1,quepr,1-E2 quepr,7.14,7.63,5/11/17,9.71,9/21/17,9.81,9.95,6/7/18,,10.09,10.26,5/29/19,,10.93,11.12,8/13/19,
1,pinta,1-E3 pinta,2.45,2.17,5/11/17,2.93,9/21/17,2.76,2.81,6/7/18,,3.08,3.19,5/29/19,,,,8/13/19,"dead: 2.88, 2.84"
1,aceru,1-E4 aceru,2.1,2.66,5/11/17,2.38,9/21/17,2.23,2.38,6/7/18,,2.76,2.39,5/29/19,,,,8/13/19,
1,pinvi,1-E5 pinvi,2.1,2.1,5/11/17,3.68,9/21/17,2.95,2.88,6/7/18,,3.16,2.97,5/29/19,,3.61,3.31,8/13/19,
1,picru,1-F1 picru,3.5,3.57,5/11/17,3.92,9/21/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
