Site,Species,Sapling,Length1,Date1,Length2,Date2,Length3,Date3,Length4,Date4,Length5,Date5,Notes5,Length6,Date6,Notes6
1,lirtu,1-A2 lirtu,20.3,5/11/17,20.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinta,1-A3 pinta,18.7,5/11/17,30,9/20/17,28.9,6/7/18,37.5,12/11/18,37.5,4/25/19,,46.6,8/13/19,
1,abiba,1-A4 abiba,21.8,5/11/17,26,9/20/17,23.4,6/7/18,26,12/11/18,26,4/25/19,,26.7,8/13/19,
1,junvi,1-A5 junvi,32.5,5/11/17,31.5,9/20/17,31.5,6/7/18,34,12/11/18,34,4/25/19,in decline,35,8/13/19,
1,aceru,1-B1 aceru,25,5/11/17,30,9/20/17,30,6/7/18,32,12/11/18,32,4/25/19,,17.8,8/13/19,top dead
1,pinvi,1-B2 pinvi,13.5,5/11/17,25,9/20/17,25,6/7/18,34,12/11/18,34,4/25/19,,55.8,8/13/19,
1,pinri,1-B3 pinri,19,5/11/17,30.5,9/20/17,30.5,6/7/18,42,12/11/18,42,4/25/19,,52.6,8/13/19,
1,lirtu,1-B4 lirtu,22,5/11/17,22.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,picru,1-B5 picru,16,5/11/17,15.5,9/20/17,15.1,6/7/18,13.5,12/11/18,13.5,4/25/19,,14,8/13/19,
1,quepr,1-C1 quepr,40.3,5/11/17,41.5,9/20/17,39.1,6/7/18,44.5,12/11/18,44.5,4/25/19,,50.5,8/13/19,
1,pinst,1-C2 pinst,36.5,5/11/17,44,9/20/17,43.9,6/7/18,44.6,12/11/18,44.6,4/25/19,,63,8/13/19,
1,queru,1-C3 queru,22,5/11/17,26,9/20/17,26,6/7/18,29,12/11/18,29,4/25/19,,30.5,8/13/19,
1,queru,1-C4 queru,24.5,5/11/17,24.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
