Site,date,Scout
1-Paradise,6/12/18,7.1875
1-Paradise,6/20/18,8.6625
1-Paradise,7/5/18,7.5375
1-Paradise,7/19/18,3.025
1-Paradise,7/31/18,3.25
1-Paradise,8/13/18,2.7125
1-Paradise,8/27/18,2.4875
1-Paradise,9/17/18,5.5625
1-Paradise,9/27/18,13.7125
1-Paradise,5/9/19,21.5125
1-Paradise,5/15/19,24.625
1-Paradise,5/21/19,25.6875
1-Paradise,5/29/19,26.95
1-Paradise,6/3/19,18.9
1-Paradise,6/11/19,30.1
1-Paradise,6/17/19,21.5875
1-Paradise,6/24/19,27.3125
1-Paradise,7/1/19,26.95
1-Paradise,7/8/19,13.15
1-Paradise,7/16/19,6.4875
1-Paradise,7/23/19,5.025
1-Paradise,7/30/19,2.6875
1-Paradise,8/12/19,3.45
1-Paradise,8/19/19,3.525
2-Middle,6/12/18,16.4125
2-Middle,6/20/18,12.075
2-Middle,7/5/18,12.65
2-Middle,7/19/18,3.1875
2-Middle,8/1/18,3.275
2-Middle,8/14/18,3.925
2-Middle,8/27/18,2.8375
2-Middle,9/17/18,6.6125
2-Middle,9/27/18,12.3375
2-Middle,5/9/19,31.9875
2-Middle,5/15/19,34
2-Middle,5/22/19,33.325
2-Middle,5/29/19,34.725
2-Middle,6/3/19,29.1625
2-Middle,6/12/19,31.975
2-Middle,6/17/19,29.7875
2-Middle,6/24/19,33.825
2-Middle,7/1/19,34.5
2-Middle,7/8/19,24.825
2-Middle,7/16/19,12.475
2-Middle,7/23/19,6
2-Middle,7/30/19,2.25
2-Middle,8/12/19,3.15
2-Middle,8/19/19,6.375
3-Summit,6/12/18,16.15
3-Summit,6/20/18,15.1375
3-Summit,7/5/18,14.35
3-Summit,7/19/18,6.0625
3-Summit,7/31/18,4.5625
3-Summit,8/13/18,4.5
3-Summit,8/27/18,3.2625
3-Summit,9/17/18,6.125
3-Summit,9/27/18,7.725
3-Summit,5/9/19,24.0125
3-Summit,5/15/19,27.425
3-Summit,5/22/19,23.2375
3-Summit,5/29/19,26.475
3-Summit,6/3/19,21.725
3-Summit,6/12/19,24.95
3-Summit,6/17/19,23.0875
3-Summit,6/24/19,25.7625
3-Summit,7/1/19,27.6
3-Summit,7/8/19,19.9
3-Summit,7/16/19,13.6
3-Summit,7/23/19,8.3625
3-Summit,7/30/19,4.0375
3-Summit,8/12/19,3.7125
3-Summit,8/19/19,7
4-Schoodic,6/11/18,27.925
4-Schoodic,6/20/18,23.8375
4-Schoodic,7/5/18,29.15
4-Schoodic,7/17/18,16.25
4-Schoodic,7/30/18,15.55
4-Schoodic,8/14/18,10.075
4-Schoodic,8/27/18,4.675
4-Schoodic,9/17/18,7.7875
4-Schoodic,9/26/18,13.5375
4-Schoodic,5/9/19,36.8375
4-Schoodic,5/15/19,36.65
4-Schoodic,5/21/19,39.75
4-Schoodic,5/29/19,38.1
4-Schoodic,6/3/19,32.7125
4-Schoodic,6/11/19,30.5875
4-Schoodic,6/17/19,36.35
4-Schoodic,6/24/19,40.45
4-Schoodic,7/1/19,39.825
4-Schoodic,7/8/19,34.4375
4-Schoodic,7/15/19,32.5875
4-Schoodic,7/23/19,22.6875
4-Schoodic,7/30/19,26.3
4-Schoodic,8/12/19,5.4
4-Schoodic,8/19/19,10.525
1-Paradise,5/22/17,8.5787636
1-Paradise,5/26/17,15.1029538
1-Paradise,5/30/17,8.8736422
1-Paradise,6/2/17,10.1268765
1-Paradise,6/6/17,9.6108389
1-Paradise,6/9/17,13.7759999
1-Paradise,6/12/17,8.8367824
1-Paradise,6/16/17,5.2613787
1-Paradise,6/20/17,10.7166338
1-Paradise,6/23/17,9.8319978
1-Paradise,6/28/17,9.3159602
1-Paradise,7/3/17,9.4265397
1-Paradise,7/7/17,11.0852321
1-Paradise,7/11/17,7.1412301
1-Paradise,7/14/17,8.0258661
1-Paradise,7/19/17,7.1043703
1-Paradise,7/26/17,5.9985753
1-Paradise,8/2/17,5.4456778
1-Paradise,8/16/17,5.3719582
