Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
A2,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
A3,1,pinta,0.73932092,23.86,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,18.7,46.6,149.197861,5.075,11.22,121.0837438
A4,1,abiba,0.639705882,10.13,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,21.8,26.7,22.47706422,3.465,5.745,65.8008658
A5,1,junvi,1.489296636,12.27,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,32.5,35,7.692307692,3.78,4.61,21.95767196
B1,1,aceru,1.576642336,3.92,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,25,17.8,-28.8,3.5,5.455,55.85714286
B2,1,pinvi,0.52638191,23.41,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,13.5,55.8,313.3333333,3.465,8.83,154.8340548
B3,1,pinri,0.758758759,31.43,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,19,52.6,176.8421053,4.725,9.065,91.85185185
B4,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
B5,1,picru,0.760683761,6.1,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,16,14,-12.5,3.535,4.255,20.36775106
C1,1,quepr,1.886343612,41.04,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,40.3,50.5,25.3101737,5.285,8.895,68.30652791
C2,1,pinst,0.730916031,41.41,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,36.5,63,72.60273973,7.28,11.025,51.44230769
C3,1,queru,2.768115942,5.51,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,22,30.5,38.63636364,4.375,5.15,17.71428571
C4,1,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
C5,1,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
D1,1,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
D2,1,aceru,1.202531646,1.84,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,29,32.2,11.03448276,1.96,3.67,87.24489796
D3,1,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
D4,1,quepr,2.146367521,35.76,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,46,62.1,35,4.445,7.145,60.7424072
D5,1,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
E1,1,pinri,0.907643312,10.46,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,15,40.6,170.6666667,3.43,6.725,96.06413994
E2,1,quepr,0.977286493,77.09,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,97.3,113.2,16.34121274,7.385,11.025,49.28909953
E3,1,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
E4,1,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
E5,1,pinvi,0.983870968,2.58,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,6.3,27,328.5714286,2.1,3.46,64.76190476
F1,1,picru,,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
F2,1,robps,0.310130051,627.51,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,37,240,548.6486486,3.64,25.96,613.1868132
F3,1,abiba,0.946808511,3.08,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,16,19.3,20.625,2.1,3.3,57.14285714
F4,1,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,14,40.3,187.8571429,4.095,9.035,120.6349206
F5,1,pinba,0.393534349,61.72,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,57.5,80.7,40.34782609,7.175,12.845,79.02439024
F6,1,pruse,10.6056338,8.71,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,58.8,43,-26.8707483,4.305,6.2,44.01858304
G1,1,robps,0.297897703,277.08,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,20.2,184,810.8910891,3.255,21.405,557.6036866
G2,1,pruse,1.234285714,8.64,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,51.3,18.8,-63.35282651,4.97,4.58,-7.847082495
G3,1,picru,1.322916667,3.63,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,13.5,16,18.51851852,2.73,4.19,53.47985348
G4,1,picgl,0.503649635,2.38,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,18,26.3,46.11111111,3.15,3.645,15.71428571
G5,1,pinri,0.788927336,48.15,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,35.3,79.7,125.7790368,6.055,13.765,127.3327828
G6,1,queru,1.824561404,3.48,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,23,28.5,23.91304348,3.15,4.235,34.44444444
H1,1,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
H2,1,junvi,1.236486486,8.98,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,29.5,30.6,3.728813559,3.43,4.09,19.24198251
H3,1,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,17.5,25,42.85714286,3.255,3.63,11.52073733
H4,1,robps,0.200962847,1223.59,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,31.5,250,693.6507937,3.85,37.095,863.5064935
H5,1,pruse,30.86666667,4.98,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,56,4.5,-91.96428571,4.41,5,13.37868481
H6,1,pinvi,0.856589147,9.78,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,13,37.2,186.1538462,2.345,6.115,160.7675906
I1,1,pinba,0.479851538,84.95,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,44,124.1,182.0454545,6.65,14.37,116.0902256
I2,1,pinba,0.463624623,104.82,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,44.5,139.5,213.4831461,7.805,18.17,132.7994875
I3,1,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
I4,1,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
I5,1,junvi,1.61038961,3.31,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,24,27,12.5,2.17,3.085,42.16589862
I6,1,picgl,0.652370203,9.83,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,27.5,33,20,3.85,5.975,55.19480519
J1,1,junvi,0.520467836,5.12,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,34.5,39.5,14.49275362,2.555,3.77,47.55381605
J2,1,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
J3,1,pinvi,0.495069034,13.33,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,19,55.9,194.2105263,2.835,6.38,125.0440917
J4,1,picgl,0.547263682,4.44,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,21,29,38.0952381,2.45,3.76,53.46938776
J5,1,pinba,0.607361963,20.5,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,6,74.8,1146.666667,3.955,7.595,92.03539823
J6,1,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
K1,1,pruse,11.28089888,11.73,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,58.8,28.2,-52.04081633,4.62,5.865,26.94805195
K2,1,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
