date,Labtech,site,ID,sp.,"organ (r,s,l)",beaker standard weight (g),mass of dried sample with container weight (m1) (g),sample mass (g),remarks
12/9/19,AD,4,f3,abiba,r,555.04,556.73,1.69,
12/9/19,AD,4,f6,pruse,r,408.79,439.3,30.51,
12/9/19,AD,4,f6,pruse,s,408.79,453.88,45.09,
12/9/19,AD,4,f6,pruse,l,408.79,425.85,17.06,
12/9/19,AD,4,g2,pruse,l,555.04,653.5,98.46,
12/9/19,AD,4,g2,pruse,s,555.04,891.7,336.66,
12/9/19,AD,4,g2,pruse,r,555.04,695.5,140.46,
12/9/19,AD,4,l3,pinba,s,555.04,631.41,76.37,
12/9/19,AD,4,l3,pinba,r,555.04,576.96,21.92,
12/9/19,AD,4,l3,pinba,l,555.04,595.86,40.82,
12/9/19,AD,4,o2,picru,r,555.04,556.38,1.34,
12/9/19,AD,4,o2,picru,s,555.04,558.41,3.37,
12/9/19,AD,4,o2,picru,l,555.04,556.48,1.44,
12/9/19,AD,4,k2,queal,r,555.04,560.61,5.57,
12/9/19,AD,4,k2,queal,s,555.04,557.95,2.91,
12/9/19,AD,4,k2,queal,l,555.04,557.3,2.26,
12/17/19,AD,2,q3,pruse,r,171.83,175.41,3.58,
12/17/19,AD,2,q3,pruse,s,171.83,175.89,4.06,
12/17/19,AD,2,q3,pruse,l,171.83,173.54,1.71,
12/17/19,AD,2,m5,robps,r,171.83,213.29,41.46,
12/17/19,AD,2,m5,robps,s,171.83,222.51,50.68,
12/17/19,AD,2,m5,robps,l,171.83,172.36,0.53,
12/17/19,AD,2,m6,robps,r,171.83,173.2,1.37,
12/17/19,AD,2,m6,robps,l,1.812,2.0794,0.2674,(sartorius balance)
12/17/19,AD,2,m6,robps,s,171.83,174.52,2.69,
12/17/19,AD,2,p5,pruse,r,171.83,175.12,3.29,
12/17/19,AD,2,p5,pruse,s,171.83,173.85,2.02,
12/17/19,AD,2,p5,pruse,l,171.83,173.26,1.43,
12/17/19,AD,2,q1,queru,r,171.83,176.87,5.04,
12/17/19,AD,2,q1,queru,s,171.83,174.29,2.46,
12/17/19,AD,2,q1,queru,l,171.83,173.24,1.41,
12/17/19,AD,2,h4,robps,r,171.83,363.44,191.61,
12/17/19,AD,2,h4,robps,s,171.83,258.91,87.08,
01/29/20,AD,4,m5,robps,l,171.83,336.02,164.19,bag not labelled as part 3
01/29/20,AD,4,m5,robps,s,171.83,562.38,390.55,"(mettler balance), bag not labelled as part 3"
01/29/20,AD,4,m5,robps,l,171.83,307.65,135.82,came in 3 part bags but one of the bag wasn't labelled  as the 3rd part
01/29/20,AD,4,m5,robps,s,171.83,683.84,512.01,came in 3 part bags but one of the bag wasn't labelled as the 3rd part
01/29/20,AD,4,m5,robps,r,171.83,408.75,236.92,
01/29/20,AD,4,m6,robps,l,171.83,480.31,308.48,
01/29/20,AD,4,m6,robps,s,171.83,977.87,806.04,(mettler balance)
01/29/20,AD,4,m6,robps,r,171.83,391.48,219.65,
01/29/20,AD,4,h4,robps,l,171.83,176.39,4.56,
01/29/20,AD,4,h4,robps,s,171.83,186.91,15.08,
01/29/20,AD,4,h4,robps,r,171.83,177.04,5.21,
01/29/20,AD,4,l2,quepr,l,171.83,178.12,6.29,
01/29/20,AD,4,l2,quepr,s,171.83,194.73,22.9,
01/29/20,AD,4,l2,quepr,r,171.83,189.66,17.83,
02/05/20,AD,4,o3,abiba,r,171.83,174.41,2.58,
02/05/20,AD,4,o3,abiba,s,171.83,176.06,4.23,
02/05/20,AD,4,o3,abiba,l,171.83,176.08,4.25,
02/05/20,AD,4,g5,pinri,l,171.83,179.01,7.18,
02/05/20,AD,4,g5,pinri,s,171.83,176.56,4.73,
02/05/20,AD,4,g5,pinri,r,171.83,173.49,1.66,
02/05/20,AD,4,g6,queru,l,171.83,176.71,4.88,
02/05/20,AD,4,g6,queru,s,171.83,182.12,10.29,
02/05/20,AD,4,g6,queru,r,171.83,187.44,15.61,
02/05/20,AD,4,a4,abiba,l,171.83,188.47,16.64,
02/05/20,AD,4,a4,abiba,s,171.83,186.09,14.26,
02/05/20,AD,4,a4,abiba,r,171.83,181.74,9.91,
02/05/20,AD,4,f5,pinba,l,171.83,193.54,21.71,
02/05/20,AD,4,f5,pinba,s,171.83,195.65,23.82,
02/05/20,AD,4,f5,pinba,r,171.83,180.75,8.92,
02/05/20,AD,4,d1,queal,l,171.83,178.67,6.84,
02/05/20,AD,4,d1,queal,s,171.83,180.49,8.66,
02/05/20,AD,4,d1,queal,r,171.83,192.52,20.69,
02/05/20,AD,4,r4,pinri,l,171.83,217.26,45.43,
02/05/20,AD,4,r4,pinri,s,171.83,237.59,65.76,
02/05/20,AD,4,r4,pinri,r,171.83,189.94,18.11,
02/05/20,AD,4,d3,picgla,l,171.83,181.59,9.76,
02/05/20,AD,4,d3,picgla,s,171.83,179.68,7.85,
02/05/20,AD,4,d3,picgla,r,171.83,175.36,3.53,
02/05/20,AD,4,r2,quepr,l,171.83,181.89,10.06,
02/05/20,AD,4,r2,quepr,s,171.83,186.66,14.83,
02/05/20,AD,4,r2,quepr,r,171.83,190.87,19.04,
02/05/20,AD,4,g1,robps,l,171.83,345.54,173.71,
02/05/20,AD,4,g1,robps,s,171.83,617.66,445.83,
02/05/20,AD,4,g1,robps,r,171.83,305.74,133.91,
02/05/20,AD,4,h3,queal,l,171.83,173.55,1.72,
02/05/20,AD,4,h3,queal,s,171.83,174.58,2.75,
02/05/20,AD,4,h3,queal,r,171.83,175.79,3.96,
02/05/20,AD,4,h5,pruse,l,171.83,201.19,29.36,
02/05/20,AD,4,h5,pruse,s,171.83,255.01,83.18,
02/05/20,AD,4,h5,pruse,r,171.83,223.42,51.59,
02/05/20,AD,4,e1,pinri,l,171.83,217.11,45.28,
02/05/20,AD,4,e1,pinri,s,171.83,230.41,58.58,
02/05/20,AD,4,e1,pinri,r,171.83,199.23,27.4,
02/06/20,AD,2,h2,junvi,l,171.83,190.91,19.08,
02/06/20,AD,2,h2,junvi,s,171.83,177.38,5.55,
02/06/20,AD,2,h2,junvi,r,171.83,178.82,6.99,
02/06/20,AD,4,c5,abiba,l,171.83,188.19,16.36,
02/06/20,AD,4,c5,abiba,s,171.83,178.24,6.41,
02/06/20,AD,4,c5,abiba,r,171.83,177.43,5.6,
02/06/20,AD,4,o5,pinst,l,171.83,181.28,9.45,
02/06/20,AD,4,o5,pinst,s,171.83,179.59,7.76,
02/06/20,AD,4,o5,pinst,r,171.83,179.09,7.26,
02/06/20,AD,4,k5,picru,l,171.83,179.8,7.97,
02/06/20,AD,4,k5,picru,s,171.83,177.83,6,
02/06/20,AD,4,k5,picru,r,171.83,175.43,3.6,
02/06/20,AD,2,a5,junvi,l,171.83,183.98,12.15,
02/06/20,AD,2,a5,junvi,s,171.83,175.11,3.28,
02/06/20,AD,2,a5,junvi,r,171.83,177.17,5.34,
02/06/20,AD,2,e2,quepr,l,171.83,181.29,9.46,
02/06/20,AD,2,e2,quepr,s,171.83,184.23,12.4,
02/06/20,AD,2,e2,quepr,r,171.83,195.93,24.1,
02/06/20,AD,4,p5,queal,l,171.83,179.61,7.78,
02/06/20,AD,4,p5,queal,s,171.83,184.96,13.13,
02/06/20,AD,4,p5,queal,r,171.83,191.3,19.47,
02/06/20,AD,2,r4,pinri,l,171.83,204.99,33.16,
02/06/20,AD,2,r4,pinri,s,171.83,183.86,12.03,
02/06/20,AD,2,r4,pinri,r,171.83,185.88,14.05,
02/06/20,AD,2,l2,quepr,l,171.83,175.83,4,
02/06/20,AD,2,l2,quepr,s,171.83,180.92,9.09,
02/06/20,AD,2,l2,quepr,r,171.83,191.6,19.77,
02/06/20,AD,2,e5,pinvi,l,171.83,177.1,5.27,
02/06/20,AD,2,e5,pinvi,s,171.83,173.84,2.01,
02/06/20,AD,2,e5,pinvi,r,171.83,173.61,1.78,
02/06/20,AD,4,d2,aceru,l,171.83,176.59,4.76,
02/06/20,AD,4,d2,aceru,s,171.83,175.41,3.58,
02/06/20,AD,4,d2,aceru,r,171.83,173.96,2.13,
